Timestamp,X,Y,Polarity
8691,137,56,1
8760,80,73,0
8761,39,67,1
8763,98,60,1
8779,87,72,0
8783,149,51,0
8793,76,97,1
8799,202,84,1
8812,180,67,0
8831,35,46,0
8836,170,67,0
8850,45,71,0
8879,165,50,0
8905,37,51,1
8917,58,73,1
8923,184,61,0
8941,49,54,1
8952,50,54,1
8971,167,68,0
8983,31,2,1
8990,169,67,0
9004,133,77,0
9025,166,61,1
9033,85,61,1
9033,165,60,1
9035,42,52,0
9044,40,56,0
9049,160,56,1
9051,95,65,1
9105,149,57,1
9137,19,113,0
9147,183,55,1
9157,140,58,1
9201,101,73,0
9261,141,56,0
9266,74,73,0
9282,27,74,1
9294,112,57,1
9335,121,82,0
9350,150,69,0
9354,27,48,0
9371,78,73,0
9409,36,45,0
9457,29,88,1
9473,190,57,1
9474,35,59,0
9478,143,69,0
9496,114,20,0
9497,65,74,0
9531,36,40,1
9533,36,40,1
9534,17,14,1
9552,17,14,1
9553,93,65,1
9555,169,61,1
9559,103,61,1
9569,31,2,1
9578,36,62,0
9636,133,47,1
9664,58,73,1
9668,95,66,1
9670,88,72,0
9727,228,80,1
9754,34,46,0
9758,135,38,0
9768,203,95,1
9769,162,68,0
9775,98,96,0
9843,101,39,0
9872,83,73,0
9875,64,63,1
9891,80,59,1
9900,148,55,1
9911,109,90,0
9933,127,83,1
9938,131,17,1
9957,133,16,1
10060,182,58,1
10063,97,73,0
10072,97,90,1
10075,144,69,0
10097,48,78,0
10103,145,52,1
10111,2,7,1
10120,158,7,1
10128,42,58,0
10131,31,2,1
10147,1,6,1
10170,128,47,1
10173,45,57,1
10176,154,57,1
10176,58,93,0
10179,73,93,1
10200,70,74,0
10212,170,56,1
10217,102,74,0
10218,178,55,1
10231,45,52,0
10236,130,79,0
10256,146,54,0
10263,54,54,1
10264,108,81,0
10329,134,76,0
10330,189,65,0
10370,106,60,1
10371,42,63,1
10384,186,59,1
10418,165,61,1
10434,41,64,1
10438,57,64,1
10438,58,73,1
10440,39,52,0
10451,0,36,1
10470,63,27,1
10520,167,56,1
10522,168,56,1
10529,111,87,0
10534,32,7,0
10547,99,73,0
10564,114,82,0
10569,183,58,1
10573,162,58,1
10573,181,58,1
10578,138,55,1
10629,96,96,0
10641,113,86,0
10643,101,60,1
10677,119,75,0
10718,137,52,0
10733,178,45,0
10737,31,2,1
10743,40,55,0
10755,79,62,1
10758,168,62,1
10761,173,56,1
10771,46,56,1
10772,19,106,0
10772,18,9,0
10773,69,69,1
10788,139,71,1
10794,136,47,1
10796,140,47,1
10797,147,55,0
10809,165,67,0
10812,140,53,1
10827,73,73,0
10830,223,84,1
10883,160,68,0
10888,13,69,0
10909,156,68,0
10912,182,66,0
10925,72,66,1
10925,142,58,1
10943,194,62,0
10980,61,63,1
10999,85,65,1
11027,73,62,1
11029,96,62,1
11104,81,73,0
11119,59,64,1
11192,53,54,1
11201,192,63,0
